Identification,Year,Adults,Young of Year,Ratio of young of Year to 100 Adults,Total
Identification,Année ,Adultes,Jeunes de l’année,Ratio d’adultes et de jeunes de l’année,Total
1,1977,74,16,22,90
2,1978,91,23,25,114
3,1979,52,11,21,63
4,1981,68,13,19,81
5,1984,75,13,17,88
6,1985,75,32,43,107
7,1987,97,31,32,128
8,1988,108,20,19,128
9,1991,108,28,26,136
10,1992,111,24,22,135
11,1994,117,25,21,142
12,1995,80,24,30,104
13,1996,107,40,37,147
14,1999,93,33,35,126
15,2002,79,21,27,100
16,2008,65,18,28,83
17,2010,78,19,24,97
19,2013,66,18,27,84
20,2015,70,26,37,96
21,2018,87,33,38,120
